Date,Delivery
2016-12-25,12
2017-01-01,16
2017-01-08,31
2017-01-15,16
2017-01-22,12
2017-01-29,15
2017-02-05,30
2017-02-12,11
2017-02-19,18
2017-02-26,15
2017-03-05,19
2017-03-12,18
2017-03-19,15
2017-03-26,7
2017-04-02,28
2017-04-09,25
2017-04-16,18
2017-04-23,18
2017-04-30,23
2017-05-07,21
2017-05-14,33
2017-05-21,12
2017-05-28,4
2017-06-04,28
2017-06-11,16
2017-06-18,20
2017-06-25,33
2017-07-02,12
2017-07-09,32
2017-07-16,20
2017-07-23,20
2017-07-30,8
2017-08-06,15
2017-08-13,28
2017-08-20,43
2017-08-27,24
2017-09-03,8
2017-09-10,4
2017-09-17,19
2017-09-24,4
2017-10-01,22
2017-10-08,11
2017-10-15,8
2017-10-22,15
2017-10-29,8
2017-11-05,11
2017-11-12,18
2017-11-19,42
2017-11-26,28
2017-12-03,18
2017-12-10,25
2017-12-17,26
2017-12-24,23
2017-12-31,18
2018-01-07,21
2018-01-14,21
2018-01-21,46
2018-01-28,25
2018-02-04,21
2018-02-11,23
2018-02-18,17
2018-02-25,11
2018-03-04,18
2018-03-11,18
2018-03-18,7
2018-03-25,32
2018-04-01,34
2018-04-08,10
2018-04-15,7
2018-04-22,28
2018-04-29,14
2018-05-06,23
2018-05-13,20
2018-05-20,17
2018-05-27,14
2018-06-03,27
2018-06-10,3
2018-06-17,17
2018-06-24,24
2018-07-01,17
2018-07-08,10
2018-07-15,14
2018-07-22,7
2018-07-29,17
2018-08-05,26
2018-08-12,14
2018-08-19,17
2018-08-26,20
2018-09-02,30
2018-09-09,10
2018-09-16,17
2018-09-23,26
2018-09-30,13
2018-10-07,22
2018-10-14,24
2018-10-21,24
2018-10-28,14
2018-11-04,14
2018-11-11,7
2018-11-18,13
2018-11-25,17
2018-12-02,45
2018-12-09,4
2018-12-16,32
2018-12-23,15
2018-12-30,48
2019-01-06,32
2019-01-13,24
2019-01-20,46
2019-01-27,14
2019-02-03,30
2019-02-10,73
2019-02-17,24
2019-02-24,38
2019-03-03,14
2019-03-10,34
2019-03-17,40
2019-03-24,40
2019-03-31,34
2019-04-07,30
2019-04-14,50
2019-04-21,30
2019-04-28,54
2019-05-05,28
2019-05-12,26
2019-05-19,26
2019-05-26,39
2019-06-02,29
2019-06-09,23
2019-06-16,73
2019-06-23,33
2019-06-30,23
2019-07-07,60
2019-07-14,27
2019-07-21,39
2019-07-28,72
2019-08-04,43
2019-08-11,58
2019-08-18,40
2019-08-25,43
2019-09-01,63
2019-09-08,42
2019-09-15,35
2019-09-22,47
2019-09-29,35
2019-10-06,32
2019-10-13,63
2019-10-20,57
2019-10-27,39
2019-11-03,32
2019-11-10,31
2019-11-17,84
2019-11-24,67
2019-12-01,40
2019-12-08,84
2019-12-15,46
2019-12-22,42
2019-12-29,54
2020-01-05,45
2020-01-12,31
2020-01-19,82
2020-01-26,26
2020-02-02,23
2020-02-09,44
2020-02-16,47
2020-02-23,27
2020-03-01,44
2020-03-08,44
2020-03-15,36
2020-03-22,38
2020-03-29,38
2020-04-05,46
2020-04-12,46
2020-04-19,34
2020-04-26,44
2020-05-03,35
2020-05-10,34
2020-05-17,34
2020-05-24,26
2020-05-31,42
2020-06-07,32
2020-06-14,28
2020-06-21,39
2020-06-28,34
2020-07-05,35
2020-07-12,29
2020-07-19,32
2020-07-26,62
2020-08-02,39
2020-08-09,53
2020-08-16,47
2020-08-23,32
2020-08-30,45
2020-09-06,58
2020-09-13,37
2020-09-20,51
2020-09-27,40
2020-10-04,48
2020-10-11,45
2020-10-18,46
2020-10-25,32
2020-11-01,45
2020-11-08,38
2020-11-15,45
2020-11-22,73
2020-11-29,41
2020-12-06,72
2020-12-13,49
2020-12-20,66
2020-12-27,100
2021-01-03,54
2021-01-10,51
2021-01-17,53
2021-01-24,34
2021-01-31,54
2021-02-07,28
2021-02-14,35
2021-02-21,49
2021-02-28,69
2021-03-07,26
2021-03-14,42
2021-03-21,16
2021-03-28,41
2021-04-04,41
2021-04-11,37
2021-04-18,30
2021-04-25,47
2021-05-02,38
2021-05-09,30
2021-05-16,66
2021-05-23,44
2021-05-30,51
2021-06-06,41
2021-06-13,32
2021-06-20,37
2021-06-27,37
2021-07-04,50
2021-07-11,55
2021-07-18,62
2021-07-25,57
2021-08-01,36
2021-08-08,51
2021-08-15,31
2021-08-22,46
2021-08-29,43
2021-09-05,68
2021-09-12,43
2021-09-19,40
2021-09-23,23
2021-09-24,12
2021-09-25,26
2021-09-26,50
2021-09-27,100
2021-09-28,22
2021-09-29,33
2021-09-30,56
2021-10-01,47
2021-10-02,40
2021-10-03,0
2021-10-04,25
2021-10-05,19
2021-10-06,25
2021-10-07,37
2021-10-08,45
2021-10-09,37
2021-10-10,36
2021-10-11,27
2021-10-12,25
2021-10-13,26
2021-10-14,25
2021-10-15,32
2021-10-16,21
2021-10-17,21
2021-10-18,30
2021-10-19,12
2021-10-20,18
2021-10-21,57
2021-10-22,60
2021-10-23,69
2021-10-24,57
2021-10-25,38
2021-10-26,26
2021-10-27,50
2021-10-28,38
2021-10-29,20
2021-10-30,22
2021-10-31,29
2021-11-01,26
2021-11-02,38
2021-11-03,25
2021-11-04,39
2021-11-05,13
2021-11-06,31
2021-11-07,14
2021-11-08,19
2021-11-09,6
2021-11-10,31
2021-11-11,43
2021-11-12,47
2021-11-13,40
2021-11-14,23
2021-11-15,38
2021-11-16,29
2021-11-17,25
2021-11-18,32
2021-11-19,71
2021-11-20,45
2021-11-21,98
2021-11-22,38
2021-11-23,12
2021-11-24,58
2021-11-25,32
2021-11-26,47
2021-11-27,77
2021-11-28,22
2021-11-29,37
2021-11-30,24
2021-12-01,25
2021-12-02,25
2021-12-03,66
2021-12-04,59
2021-12-05,21
2021-12-06,56
2021-12-07,43
2021-12-08,44
2021-12-09,51
2021-12-10,52
2021-12-11,52
2021-12-12,40
2021-12-13,31
2021-12-14,49
2021-12-15,12
2021-12-16,44
2021-12-17,33
2021-12-18,29
2021-12-19,77
2021-12-20,19
