Date,Chicken
2016-12-25,54
2017-01-01,46
2017-01-08,56
2017-01-15,80
2017-01-22,60
2017-01-29,66
2017-02-05,66
2017-02-12,51
2017-02-19,66
2017-02-26,68
2017-03-05,65
2017-03-12,85
2017-03-19,58
2017-03-26,59
2017-04-02,63
2017-04-09,58
2017-04-16,55
2017-04-23,77
2017-04-30,68
2017-05-07,68
2017-05-14,79
2017-05-21,83
2017-05-28,64
2017-06-04,79
2017-06-11,68
2017-06-18,100
2017-06-25,77
2017-07-02,81
2017-07-09,81
2017-07-16,57
2017-07-23,63
2017-07-30,65
2017-08-06,86
2017-08-13,85
2017-08-20,65
2017-08-27,67
2017-09-03,57
2017-09-10,67
2017-09-17,58
2017-09-24,57
2017-10-01,94
2017-10-08,64
2017-10-15,72
2017-10-22,73
2017-10-29,76
2017-11-05,77
2017-11-12,78
2017-11-19,69
2017-11-26,70
2017-12-03,72
2017-12-10,62
2017-12-17,73
2017-12-24,76
2017-12-31,78
2018-01-07,80
2018-01-14,71
2018-01-21,69
2018-01-28,79
2018-02-04,80
2018-02-11,67
2018-02-18,81
2018-02-25,90
2018-03-04,70
2018-03-11,66
2018-03-18,74
2018-03-25,59
2018-04-01,73
2018-04-08,61
2018-04-15,62
2018-04-22,53
2018-04-29,55
2018-05-06,69
2018-05-13,58
2018-05-20,70
2018-05-27,71
2018-06-03,74
2018-06-10,66
2018-06-17,93
2018-06-24,65
2018-07-01,66
2018-07-08,63
2018-07-15,70
2018-07-22,87
2018-07-29,91
2018-08-05,76
2018-08-12,68
2018-08-19,99
2018-08-26,83
2018-09-02,56
2018-09-09,76
2018-09-16,61
2018-09-23,72
2018-09-30,70
2018-10-07,74
2018-10-14,60
2018-10-21,81
2018-10-28,60
2018-11-04,67
2018-11-11,61
2018-11-18,46
2018-11-25,63
2018-12-02,58
2018-12-09,64
2018-12-16,70
2018-12-23,68
2018-12-30,94
2019-01-06,80
2019-01-13,76
2019-01-20,68
2019-01-27,72
2019-02-03,64
2019-02-10,68
