Date,Delivery
2016-12-25,28
2017-01-01,54
2017-01-08,27
2017-01-15,53
2017-01-22,19
2017-01-29,17
2017-02-05,42
2017-02-12,50
2017-02-19,50
2017-02-26,25
2017-03-05,25
2017-03-12,33
2017-03-19,50
2017-03-26,58
2017-04-02,81
2017-04-09,41
2017-04-16,24
2017-04-23,41
2017-04-30,69
2017-05-07,49
2017-05-14,37
2017-05-21,47
2017-05-28,37
2017-06-04,83
2017-06-11,27
2017-06-18,54
2017-06-25,56
2017-07-02,74
2017-07-09,55
2017-07-16,73
2017-07-23,45
2017-07-30,72
2017-08-06,53
2017-08-13,28
2017-08-20,27
2017-08-27,18
2017-09-03,53
2017-09-10,18
2017-09-17,27
2017-09-24,64
2017-10-01,70
2017-10-08,51
2017-10-15,53
2017-10-22,18
2017-10-29,35
2017-11-05,58
2017-11-12,24
2017-11-19,48
2017-11-26,40
2017-12-03,24
2017-12-10,57
2017-12-17,42
2017-12-24,43
2017-12-31,50
2018-01-07,40
2018-01-14,79
2018-01-21,64
2018-01-28,48
2018-02-04,65
2018-02-11,27
2018-02-18,47
2018-02-25,33
2018-03-04,58
2018-03-11,57
2018-03-18,32
2018-03-25,64
2018-04-01,55
2018-04-08,86
2018-04-15,63
2018-04-22,72
2018-04-29,71
2018-05-06,69
2018-05-13,46
2018-05-20,69
2018-05-27,69
2018-06-03,39
2018-06-10,52
2018-06-17,46
2018-06-24,31
2018-07-01,46
2018-07-08,61
2018-07-15,40
2018-07-22,31
2018-07-29,30
2018-08-05,75
2018-08-12,78
2018-08-19,54
2018-08-26,54
2018-09-02,53
2018-09-09,91
2018-09-16,39
2018-09-23,25
2018-09-30,23
2018-10-07,65
2018-10-14,63
2018-10-21,56
2018-10-28,24
2018-11-04,55
2018-11-11,24
2018-11-18,46
2018-11-25,16
2018-12-02,47
2018-12-09,57
2018-12-16,40
2018-12-23,78
2018-12-30,51
2019-01-06,49
2019-01-13,72
2019-01-20,48
2019-01-27,65
2019-02-03,43
2019-02-10,45
2019-02-17,70
2019-02-24,47
2019-03-03,56
2019-03-10,47
2019-03-17,60
2019-03-24,38
2019-03-31,47
2019-04-07,69
2019-04-14,30
2019-04-21,69
2019-04-28,69
2019-05-05,31
2019-05-12,53
2019-05-19,45
2019-05-26,67
2019-06-02,36
2019-06-09,44
2019-06-16,60
2019-06-23,67
2019-06-30,38
2019-07-07,15
2019-07-14,70
2019-07-21,57
2019-07-28,74
2019-08-04,73
2019-08-11,85
2019-08-18,53
2019-08-25,52
2019-09-01,50
2019-09-08,47
2019-09-15,64
2019-09-22,79
2019-09-29,50
2019-10-06,87
2019-10-13,50
2019-10-20,57
2019-10-27,37
2019-11-03,58
2019-11-10,71
2019-11-17,35
2019-11-24,35
2019-12-01,14
2019-12-08,68
2019-12-15,59
2019-12-22,68
2019-12-29,75
2020-01-05,82
2020-01-12,38
2020-01-19,56
2020-01-26,66
2020-02-02,84
2020-02-09,100
2020-02-16,65
2020-02-23,51
2020-03-01,90
2020-03-08,28
2020-03-15,60
2020-03-22,38
2020-03-29,43
2020-04-05,52
2020-04-12,52
2020-04-19,36
2020-04-26,50
2020-05-03,43
2020-05-10,57
2020-05-17,37
2020-05-24,91
2020-05-31,58
2020-06-07,37
2020-06-14,58
2020-06-21,32
2020-06-28,66
2020-07-05,59
2020-07-12,44
2020-07-19,33
2020-07-26,39
2020-08-02,61
2020-08-09,66
2020-08-16,22
2020-08-23,67
2020-08-30,64
2020-09-06,49
2020-09-13,55
2020-09-20,47
2020-09-27,73
2020-10-04,46
2020-10-11,60
2020-10-18,56
2020-10-25,49
2020-11-01,69
2020-11-08,74
2020-11-15,54
2020-11-22,83
2020-11-29,88
2020-12-06,34
2020-12-13,73
2020-12-20,54
2020-12-27,48
2021-01-03,47
2021-01-10,40
2021-01-17,46
2021-01-24,65
2021-01-31,53
2021-02-07,57
2021-02-14,29
2021-02-21,41
2021-02-28,46
2021-03-07,55
2021-03-14,35
2021-03-21,68
2021-03-28,52
2021-04-04,36
2021-04-11,26
2021-04-18,75
2021-04-25,48
2021-05-02,91
2021-05-09,52
2021-05-16,75
2021-05-23,43
2021-05-30,21
2021-06-06,57
2021-06-13,36
2021-06-20,62
2021-06-27,78
2021-07-04,60
2021-07-11,57
2021-07-18,55
2021-07-25,81
2021-08-01,65
2021-08-08,27
2021-08-15,55
2021-08-22,25
2021-08-29,16
2021-09-05,46
2021-09-12,69
2021-09-19,33
2021-09-23,32
2021-09-24,99
2021-09-25,0
2021-09-26,35
2021-09-27,93
2021-09-28,61
2021-09-29,91
2021-09-30,31
2021-10-01,33
2021-10-02,0
2021-10-03,0
2021-10-04,68
2021-10-05,17
2021-10-06,34
2021-10-07,68
2021-10-08,0
2021-10-09,83
2021-10-10,40
2021-10-11,19
2021-10-12,0
2021-10-13,72
2021-10-14,18
2021-10-15,88
2021-10-16,0
2021-10-17,19
2021-10-18,50
2021-10-19,33
2021-10-20,17
2021-10-21,18
2021-10-22,19
2021-10-23,42
2021-10-24,20
2021-10-25,18
2021-10-26,71
2021-10-27,35
2021-10-28,18
2021-10-29,55
2021-10-30,62
2021-10-31,40
2021-11-01,18
2021-11-02,17
2021-11-03,35
2021-11-04,36
2021-11-05,75
2021-11-06,64
2021-11-07,59
2021-11-08,52
2021-11-09,68
2021-11-10,35
2021-11-11,51
2021-11-12,37
2021-11-13,66
2021-11-14,42
2021-11-15,88
2021-11-16,16
2021-11-17,53
2021-11-18,71
2021-11-19,0
2021-11-20,41
2021-11-21,59
2021-11-22,52
2021-11-23,87
2021-11-24,36
2021-11-25,35
2021-11-26,0
2021-11-27,64
2021-11-28,20
2021-11-29,0
2021-11-30,68
2021-12-01,87
2021-12-02,35
2021-12-03,0
2021-12-04,20
2021-12-05,58
2021-12-06,0
2021-12-07,69
2021-12-08,53
2021-12-09,53
2021-12-10,36
2021-12-11,0
2021-12-12,19
2021-12-13,34
2021-12-14,17
2021-12-15,17
2021-12-16,18
2021-12-17,73
2021-12-18,100
2021-12-19,39
2021-12-20,70
